Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
29.830296277999878,3,3,13:36:37,13:37:07,"r1Saj9-GHhg,KzQnnrHEYpo,G88unVI-wVI",3.6899850368499756
31.901045083999634,3,0,13:37:19,13:37:50,"r1Saj9-GHhg,G88unVI-wVI,KzQnnrHEYpo",3.164746046066284
28.875609874725342,4,1,14:01:57,14:02:26,"KzQnnrHEYpo,r1Saj9-GHhg,_89uXZJfvzM,G88unVI-wVI",2.6719703674316406
23.302719831466675,4,0,14:56:14,14:56:38,"KzQnnrHEYpo,r1Saj9-GHhg,G88unVI-wVI,_89uXZJfvzM",2.4438328742980957
22.632030248641968,3,0,15:12:23,15:12:45,"_89uXZJfvzM,r1Saj9-GHhg,KzQnnrHEYpo",4.435804843902588
15.924513339996338,1,0,16:30:46,16:31:02,KzQnnrHEYpo,2.3346495628356934
30.63472318649292,6,5,17:11:03,17:11:34,"KzQnnrHEYpo,7jiJoCKnyPY,l9wdKyVVX18,025GroN318Y,p-MIT61XqP0,tYeStRo41OA",2.284022808074951
27.194201707839966,6,1,17:38:53,17:39:20,"KzQnnrHEYpo,p-MIT61XqP0,tYeStRo41OA,025GroN318Y,7jiJoCKnyPY,l9wdKyVVX18",2.3040103912353516
23.466062784194946,4,1,18:15:55,18:16:19,"tYeStRo41OA,KzQnnrHEYpo,p-MIT61XqP0,025GroN318Y",2.979278326034546
21.26577591896057,4,0,18:38:33,18:38:54,"tYeStRo41OA,025GroN318Y,p-MIT61XqP0,KzQnnrHEYpo",2.268899917602539
19.52187156677246,3,0,19:13:33,19:13:53,"tYeStRo41OA,gnabbRlmha8,Q-HTVjGIPMo",3.096937656402588
21.752931833267212,3,2,19:51:06,19:51:28,"Q-HTVjGIPMo,gnabbRlmha8,tYeStRo41OA",4.321115016937256
18.87836980819702,2,2,20:47:56,20:48:15,"ACwdP5Rjc8g,Ad5Ce7rGlqU",3.185739517211914
63.416417837142944,14,13,22:04:18,22:05:22,"pVRvx4FBEwU,0O1bQn-BwAs,ecxol-6f1qA,ACwdP5Rjc8g,5IJmX1-mK-g,bPrvXay0GQY,Mq4lP7KAJWU,jNjJrfS3QWs,jXQX4EOpsdc,eYbcCJlUWCE,Ae0KyU20i3Q,OuYrhu3FPt4,plEloDdh0xI,v8g_rPCaaic",2.8984289169311523
