Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
27.452365398406982,3,2,08:59:24,08:59:51,"7YGDhpEatrQ,eAGllMWOJ-4,fnb6sZPqTc4",5.442708492279053
22.511279344558716,2,2,10:36:07,10:36:29,"i4FsF0ViM2s,ZsFzrFuSPNI",2.8539185523986816
19.639689683914185,1,1,15:20:54,15:21:13,6tIUVC8X2zw,4.935775279998779
26.61191964149475,3,3,17:08:34,17:09:00,"K0Kf8zhu4vI,5NAw7meK3_U,NQN6XMY0kLc",5.379712343215942
32.44614100456238,4,3,19:16:27,19:16:59,"K0Kf8zhu4vI,rlt7B7Yhl-w,jSSdtBRAQpg,UgTcOgvPSmM",2.7012996673583984
78.32412266731262,17,17,22:51:45,22:53:03,"JyQmRBdwuQM,DKStxPoILmk,yMkoIkQH5i4,MoQhfVUkLPo,h5M4eZbPz5Q,_pnFblW0C-8,ePxL4DPn_0c,-adloaJhLF8,h0Dt0OGhWRo,VY48235fziU,p7rmSWp2N-k,r-iTCjfBANQ,2WAGpYWYbCc,60Mm28Z9uuw,Fbr5CeK8CSE,0ht2OAr6QsA,NDkZKp5KzDE",1.0395560264587402
