Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
161.2236521244049,4,4,09:34:42,09:37:23,"d6ouim9ZsyI, uHAzSD-BNps, K86Lky4gnFI, V1Z_-4ArsY4"
148.04090452194214,6,3,11:43:23,11:45:51,"idUGBcSEurY, SMoN2UBKjpc, GhxjKMsYkac"
120.46708369255066,7,1,11:59:54,12:01:55,wQy5BCmg-m4
322.86887431144714,11,7,13:22:54,13:28:17,"DwCdwoI2TFU, e92qKH9kpEU, oXVTh2F5d50, imfhvy6fG9A, 05FRg-uloLo, uqqmEavZczs, 4AiQxbAMNBI"
275.84031915664673,10,4,15:15:05,15:19:41,"fBqxP5CtcjA, BzuC82g_etg, oAOz8UKnRec, 7-y8bVOb-cs"
124.39775371551514,19,4,15:23:47,15:25:51,"fBqxP5CtcjA, BzuC82g_etg, oAOz8UKnRec, 7-y8bVOb-cs, fBqxP5CtcjA, BzuC82g_etg, oAOz8UKnRec, 7-y8bVOb-cs"
60.19810247421265,9,0,15:35:27,15:36:27,
59.90758419036865,18,0,15:36:45,15:37:45,
