Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
44.8071072101593,5,5,08:30:15,08:31:00,"fL60MVHAZpY,N4tJFcc1i8c,aJ1XuzDfSEA,-tkMoenz6V8,S4l3bufI1DQ",2.8835196495056152
44.962345123291016,6,1,09:23:07,09:23:52,"aJ1XuzDfSEA,-tkMoenz6V8,N4tJFcc1i8c,S4l3bufI1DQ,fL60MVHAZpY,UXfK7R25TIQ",4.2491090297698975
40.692994594573975,7,2,10:07:00,10:07:41,"-tkMoenz6V8,S4l3bufI1DQ,aJ1XuzDfSEA,N4tJFcc1i8c,_fHT34m5W4U,UXfK7R25TIQ,M_hxZ14jXlM",2.4984028339385986
39.24628686904907,9,4,11:18:10,11:18:50,"S4l3bufI1DQ,M_hxZ14jXlM,U0uNaGMCY4s,FtLdLlbP7SY,N4tJFcc1i8c,MRNRsXNHTkQ,_fHT34m5W4U,-tkMoenz6V8,nPFPZeOsU84",3.7727291584014893
58.61288499832153,7,6,19:03:33,19:04:32,"MIGgkZQyUFY,PiqfrGp8bQ8,SwyHd_iUXcY,-QgGcM5J8zM,YpQROUULDZ0,W2aGoHAm-ko,TwncvIlhyVQ",3.454766273498535
80.22331261634827,12,10,21:05:01,21:06:21,"v6xsg38ITz0,Cd0s32UWaOY,CgwkuaAjJjo,KThmQUsw3vc,GGDfPLQCp5o,v84sTgJ-2cE,dnATF6x5Oak,Z3N98K17Jdg,PiqfrGp8bQ8,x9WhfO4z2lU,lG7BiA80Pw8,MIGgkZQyUFY",8.16972804069519
43.105093240737915,8,4,23:19:31,23:20:14,"GGDfPLQCp5o,h0gefsuHdNs,dnATF6x5Oak,qjWX6lnJBow,v6xsg38ITz0,Hax9u8qPpB8,LTifoKziz1w,PiqfrGp8bQ8",3.2401864528656006
