Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
130.7686197757721,2,2,16:38:49,16:41:00,"XZFZzLqzmKU, sXr0v6N6hhs"
124.1614408493042,5,3,17:08:29,17:10:33,"pCFX6aKvtJY, H8z1uEENbnI, dKYmrz_8_cs"
133.85730814933777,8,3,18:29:58,18:32:12,"NH9r6Dcfs0I, Kg1Qv9_7NRw, lmzOF0UWa8U"
168.5890336036682,13,5,19:11:40,19:14:28,"MhRRfZHevug, 7wnweB0meeM, E3M6nvk_hO0, lmAfQcIEHek, Qr-17KXN4dI"
148.7484540939331,15,2,19:16:51,19:19:19,"pIAhv3p7GTQ, kdNF4PijthU"
84.66656613349915,14,0,19:24:15,19:25:40,
133.50282263755798,15,1,19:37:52,19:40:06,ZmQ6F-LMOFk
134.8033812046051,16,2,20:07:57,20:10:12,"Xhha0TpIXUg, 7yqkgUdu8B8"
138.21434378623962,14,2,20:32:27,20:34:45,"nfil4dCUEFE, 3EPcsUIryyg"
82.75657606124878,13,0,20:40:00,20:41:23,
91.54650497436523,12,0,20:53:44,20:55:16,
259.13341546058655,20,8,21:08:59,21:13:18,"EZ9yR83cKi0, s39qxIO-Emc, R1c0FMLNuhA, ZsZxDpdYUQw, e1FsxvspajE, -asm5jCDlP8, N6bNV49wZbQ, 0nJPYTSbfQQ"
166.6253490447998,19,1,21:20:48,21:23:35,jDydkn9tBa8
169.84104681015015,21,2,21:31:58,21:34:48,"wvPde_3HMxc, I2sSYppPAxI"
169.65717816352844,21,4,22:02:25,22:05:14,"9NacYwCqIII, P7YTg3geTp4, wJElQpzuse8, 59zDkak6p9A"
