Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
88.01276731491089,3,3,07:06:33,07:08:01,"2ozLVMjz_Kg, RQOE6Z1ajYc, F01hqFWk6-Q"
90.62276649475098,1,1,09:03:00,09:04:30,SkRtWQh63ds
88.52937364578247,4,3,16:14:55,16:16:24,"fiApDq9BcHw, CQdJ41bi990, Hl-W2i9IyM8"
87.9404923915863,5,1,16:54:55,16:56:23,diY_-2DQZ3M
103.68267035484314,7,2,17:03:48,17:05:32,"Nnq6r2PJYyU, JtCixA9Kbj4"
112.50660943984985,7,3,18:31:43,18:33:35,"HDh75kzMaW8, caL8YXnqPcg, Ddq9kBdbLGQ"
102.78515100479126,7,0,18:42:09,18:43:52,
101.7517991065979,7,1,19:07:05,19:08:47,Xj_nQp20ws0
156.9119942188263,8,2,19:50:25,19:53:02,"ctNrfRXsg4I, AuXDscX_G4A"
209.63946866989136,18,11,20:07:46,20:11:16,"lKVFChM8WL4, jyBfP35FMxI, e-cOkmWjlb0, xqAUACAV5rA, E1NEpo34mHw, kxqueodGG_w, 6QkJQJS21BY, KzVugcP0Zlc, JnSHsiFBWb8, Sl0FnzLQH6k, AFg1lUR3gwY"
212.13016724586487,22,8,21:13:30,21:17:02,"nJ4y0XZVYh0, ouwB1FqEl4U, --NV_wO-f8U, eC_tE39ht_g, Z8FZjYbM9cg, 0MHa6G-M3Fk, xiojlX6DNTw, TINGBNW0mEo"
300.60696387290955,20,0,21:52:34,21:57:34,
147.8409972190857,17,2,22:20:49,22:23:17,"xg4UE1h8xhM, SSPtVsGRcjI"
137.07976007461548,14,0,22:38:51,22:41:08,
