Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
96.44177293777466,3,3,10:16:06,10:17:42,"kTvKlDm_8b8, MP99yErC_PM, Hv8nDxortT0"
89.56343340873718,4,2,12:04:48,12:06:17,"2Y0BoW1U56A, Ge_S42HJNqs"
106.77908658981323,6,2,13:14:15,13:16:02,"d8sHXMHgpNM, ikfz8RwPLqE"
88.51338386535645,5,1,15:48:18,15:49:46,IXsJQImDCl8
98.18595719337463,8,4,16:41:45,16:43:23,"9y_h_L0l5e4, mZvhTzCLKYI, tcdFv_G7G2s, jKdM5mVREP0"
118.04581594467163,12,4,17:10:49,17:12:47,"1ejdlf8znaQ, -RgpYqEl2Ls, yzKs3UpCCmc, YxQ7p8i0IXc"
116.58526825904846,12,3,18:31:24,18:33:21,"PYR6t2lk3Xc, w8sedls02ks, XOZJ2Vv3pfY"
82.42228031158447,8,1,19:24:05,19:25:27,NjzDCO_QxqY
106.90070843696594,10,4,20:03:06,20:04:53,"xJCAF1riBnY, 1D5lNLqroUo, YOt_LlUVLx4, tJlNMg-PdvA"
111.77030897140503,10,3,20:34:29,20:36:20,"f3kNzAFhHl8, d3E8W-If2hY, KlxWvfg8SCY"
144.19949054718018,15,5,21:02:32,21:04:56,"dOMjeQk_n4g, Q-KZoOmkyns, PQzbWqcjUEk, XzAmDamARYY, xVKsMzKvzIk"
