Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
93.62701749801636,2,2,07:05:17,07:06:51,"-L8EkQ3NCG4, VQU1zJPD80I"
75.24581980705261,1,1,09:14:11,09:15:26,rvodXl19U4o
76.2766842842102,1,1,11:23:32,11:24:48,9bZFbNv7c0E
86.47924900054932,2,2,12:12:19,12:13:46,"vrieJkshneU, l2ENZDBQrJY"
112.1079695224762,3,1,13:26:49,13:28:41,uSgbxyB88dM
90.4275848865509,2,1,14:16:09,14:17:39,oUTImspS10I
76.66498899459839,2,2,16:50:28,16:51:45,"Db1gAOLYRFI, 6ereB0kiYXM"
133.54311633110046,5,4,18:39:14,18:41:28,"5p6QB2zYOmU, go6LQPaNEeM, EcxwMyX5wB4, CoIqfUfarvQ"
103.6995918750763,8,4,19:17:02,19:18:46,"V5BOXRO82Y4, Mb7JSu_U8r4, KPxTIqlcDJo, Bqgt6Db3Zfg"
157.38979935646057,15,11,20:22:24,20:25:02,"damyrfRkdAQ, kOJG7ICo80w, 5k-jSFD9NE0, 4b6HiGuae1A, pbaFa86jPeA, sMFGV4MI5Bc, WAgAYhemm1I, BbeyhxoW4-E, GzWDcutkMQw, gAWbB9dvhoE, wdBWzvnPmKs"
148.42498540878296,16,3,21:02:44,21:05:12,"Yn_DdMZd4mc, _DpimQeccMY, Zp0lOlb0h1M"
122.4589114189148,12,0,21:31:50,21:33:52,
129.67981147766113,11,7,23:16:28,23:18:38,"UWx7ZEpLGDU, T142Djb4Jbw, KsBfsOClIC4, EPuwsmW0Xy4, iLgCustZ1B8, WzSBkIa7vIs, z0JjEGCEleA"
101.74770545959473,10,0,23:26:13,23:27:55,
