Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
144.46946501731873,5,5,14:32:54,14:35:19,"w4R7t6qwZFU, S21sTdpuXIE, a4Kcq9zQgig, s5tlZNhZT8Y, 57izybDbFu4"
100.26962232589722,7,2,18:13:04,18:14:45,"https://www.youtube.com/watch?v=G1N8OBF9PSw, https://www.youtube.com/watch?v=BV0BSMh15jE"
55.73764753341675,7,0,18:18:38,18:19:34,
55.139244079589844,7,0,18:21:15,18:22:10,
59.446077823638916,6,0,18:26:46,18:27:45,
44.42553496360779,5,0,18:30:31,18:31:16,
