Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
180.26109790802002,7,6,12:05:56,12:08:56,"FAk27_YhGvc,eKO-HobvAvM,9GgmxoKZQQg,ZVkjfqLqU2k,sdk8EVrxSfs,DuN3r-1oGkQ,jKy69p4ZcPs",70.19434666633606
74.91724944114685,5,5,15:21:01,15:22:15,"0D8sv8DiglQ,P6VUCUWS4wM,Caln4T6a-cI,DuN3r-1oGkQ,QMVfPXOEoko",35.78167104721069
54.00275182723999,3,3,18:32:55,18:33:49,"d28VucvPsSU,FZLsJsitskM,3lKqPiGaLeQ",32.85834455490112
55.58562994003296,4,2,19:06:18,19:07:13,"d28VucvPsSU,FZLsJsitskM,OOmygNv8yuc,cSfuUNuKRRk",31.508479118347168
63.051191329956055,4,0,19:22:45,19:23:48,"d28VucvPsSU,FZLsJsitskM,OOmygNv8yuc,cSfuUNuKRRk",30.39816403388977
110.24164462089539,9,5,20:03:59,20:05:49,"d28VucvPsSU,FZLsJsitskM,OOmygNv8yuc,cSfuUNuKRRk,62KGmbGXLQ4,ripiJ0p4Xv8,uTxT2yx7u7k,Nor1kDzHjY0,yUcB9IYm1bQ",37.11027145385742
129.11283159255981,11,5,21:09:41,21:11:50,"5hpIJbDX6WQ,J5_9Escbyuk,d28VucvPsSU,_wzZ0I7t8X4,i-_a2v0-kYM,FZLsJsitskM,OOmygNv8yuc,OJCkpv45xCg,62KGmbGXLQ4,ripiJ0p4Xv8,yUcB9IYm1bQ",38.310356855392456
89.34690928459167,17,10,22:21:38,22:23:07,"MViRDRPlslE,J5_9Escbyuk,YeQexn5SUUA,d28VucvPsSU,_wzZ0I7t8X4,i-_a2v0-kYM,OOmygNv8yuc,OJCkpv45xCg,VtdmXKXuvGA,6qN3QB5BcjY,PWoxBXQcAFc,ziD8zGoMw8M,FKZeHQd7YgM,vm0B6UakElc,IDKWfNwe1z0,62KGmbGXLQ4,u_Vv_ARgS5A",28.27460527420044
106.53146314620972,17,2,23:01:24,23:03:11,"MViRDRPlslE,J5_9Escbyuk,YeQexn5SUUA,d28VucvPsSU,0oN4BcfmoPA,hTOTslje7Dw,OOmygNv8yuc,OJCkpv45xCg,VtdmXKXuvGA,6qN3QB5BcjY,PWoxBXQcAFc,ziD8zGoMw8M,FKZeHQd7YgM,vm0B6UakElc,IDKWfNwe1z0,62KGmbGXLQ4,u_Vv_ARgS5A",30.139328241348267
