Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
99.89877438545227,2,1,07:42:59,07:44:38,cDXCTmQzAak
108.70762205123901,4,2,08:06:36,08:08:25,"KDgMy7pZUY4, MNgJCOdYaRg"
121.16599488258362,2,2,10:43:46,10:45:47,"Z68mgDScDqI, AC3gK4y60qI"
127.69773125648499,5,4,11:24:06,11:26:14,"L0om6Ob96tg, jvzIQJRhIb0, KFKz8eqc3QQ, 3R_lziAXdzI"
123.45552396774292,7,4,12:44:18,12:46:21,"bHWt6Sd5YtU, hdoB77YIPCo, ec3wn6rZOOw, _U2_Mw-5Prw"
117.77659702301025,9,2,13:08:08,13:10:06,"0KLnCy691Ts, fPzOqpKnmYE"
72.16961097717285,8,0,13:41:55,13:43:07,
159.9589240550995,10,4,14:15:10,14:17:50,"SbwwgOkTnDk, sQf0K1LAAps, 10oCKNuD6PQ, aawPotgemMA"
127.95510077476501,10,2,15:01:10,15:03:18,"y4NkFsNPZwk, qTWgTjh3jw0"
90.12171626091003,4,1,17:09:15,17:10:45,8XVfkHPU1Kk
66.9041690826416,3,0,17:52:43,17:53:50,
95.13421535491943,3,1,18:30:18,18:31:53,CUl0aK7dQks
212.18942523002625,8,8,20:36:28,20:40:00,"1UQK3e9VJkY, cRALY19hpC8, 6I7BaBVwOWY, VhBTL7QY66A, wPYMQ7zyt9M, znfAp1lV5d0, AJbbChm-tuM, j4NTGSHroT8"
80.34535813331604,7,0,20:50:28,20:51:48,
374.3319659233093,11,5,21:15:06,21:21:20,"NfSjC2RcTp4, vtKsgnkGp1s, 2Eq7j0i_fZc, A_kAc8_JFXQ, C87Kah8hFQ4"
