Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
98.95445966720581,1,1,07:39:40,07:41:19,pDQZJr7iEsg
32.25657844543457,0,,08:03:38,08:04:10,
69.8205943107605,1,1,08:13:52,08:15:02,0Sclvz9HTts
116.47545409202576,3,2,09:30:41,09:32:38,"frda_fLVs8k, QN5OZ-GBTxg"
92.01386046409607,4,2,12:15:18,12:16:50,"QnvRaqzubUk, dpYTPk3SzaA"
230.83043336868286,2,2,16:08:05,16:11:56,"HU4-94zatIE, yezcZ85fIHA"
135.3699083328247,5,3,17:02:40,17:04:55,"zlW9GTuzJJo, AodgMJ4gK2o, jm6jIkSKo3E"
182.36795043945312,5,0,17:34:53,17:37:56,
194.9271161556244,5,0,17:44:05,17:47:20,
147.28666710853577,7,2,18:05:33,18:08:00,"F6n6x-8ZBBU, s9m-IZa3uHQ"
134.79437255859375,6,5,19:10:41,19:12:56,"DhT754K7fLE, PESpYmXhBiM, tyzOJEw79hs, vCF7QOoODrk, 8jGCDDZAHr0"
154.46116375923157,12,8,20:09:53,20:12:28,"G6d5E3-WZp0, E2AXuz5druw, opaJTA7aIJ0, A4FIAsK2yqk, KqkiMpdD8F4, Aj11HLWkKg0, OBRhWP9nmdo, b3QZg2zN9B8"
202.82325625419617,17,9,21:06:47,21:10:10,"YeWqYvSDRDw, Uo_ytBHwzC8, pMHYm5Zhgcw, 9af1_Qmckws, uTatSVi3DKM, oxcLcNcdZiY, 5PAUZJ5Yins, j9-u_MmXnFM, Z-5B3uL9Bds"
144.40157055854797,14,1,21:48:56,21:51:20,_WLICvWtMUw
196.30728316307068,21,7,22:02:11,22:05:27,"04Gsa4oWoWE, 28uOXGS8woE, e_kp8Te3BeQ, Mx0l1oD2Sjs, p3_nMnRFtAU, obpdb4auxrY, SIJLqtMe65o"
182.58695673942566,22,1,22:19:58,22:23:01,uCqiUQPZkwE
118.21155095100403,15,2,23:33:42,23:35:40,"X-roYkXaOoU, ByFZ4-T2oqU"
