Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
177.69828295707703,6,6,13:06:35,13:09:32,"nj6qwgpQ6B4, YyH_tu3ol_c, kYChcl_6rvs, 2RLmJw5Wb5k, LCe3SCX7t28, LBJXFcl5eP0"
93.52503561973572,6,1,14:04:55,14:06:28,TR4ItxNxJuE
57.43847918510437,6,0,14:07:49,14:08:47,
59.32449150085449,6,0,14:43:17,14:44:16,
52.24577713012695,5,0,15:04:59,15:05:51,
50.87967872619629,3,0,15:19:04,15:19:54,
48.62378144264221,3,0,15:32:05,15:32:53,
50.29995894432068,3,0,15:51:56,15:52:46,
75.59871172904968,3,1,16:04:18,16:05:33,blSX7M_n9RA
49.50641393661499,3,0,16:13:31,16:14:21,
49.27234482765198,3,0,16:19:52,16:20:41,
86.56603264808655,4,1,16:31:47,16:33:13,0vDIyNgVyZI
52.95114469528198,4,0,16:38:34,16:39:27,
95.50816583633423,5,1,17:11:51,17:13:26,k_KqCoslEtY
121.91164827346802,8,3,18:11:45,18:13:47,"-UbSxTkVjjU, dkzPC90JTsM, wUaWqNPNs7o"
109.25952577590942,7,3,19:09:32,19:11:21,"GJ3qTGVRtpY, XXXRDfSXHrQ, zJANM3tHpcs"
57.56579661369324,7,0,19:19:34,19:20:32,
122.0127694606781,11,4,20:00:47,20:02:49,"8rC71jDL3Os, OrGSPB7gmuM, JnKCPwTRKaQ, sSztfYl4uic"
94.76167178153992,11,1,20:13:47,20:15:22,RlRMrF4Dk5s
254.65003323554993,21,13,21:18:14,21:22:28,"VvDvp2WeCnI, b2O8RqGXxwM, iaEYyZC2RoA, YDwzDiyXa-8, erT6ffODByo, C847LP36pQk, 2tGMFQiM09I, QIRNDhMwXYI, xhTZisTt3x4, 5FCW7HZMblM, eI-lRaGe0CA, 7K7gZRj64uE, Cyun_7rt7Ks"
212.83495330810547,22,7,22:20:35,22:24:08,"1u5psO58JZ8, yJR__yXP52w, GXQmezB_fCI, YCmG8C0jzwg, 0nBTiAt2kbc, eqMn8-UEH2k, F98wwxCCwY4"
