Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
51.14644337,0,0,7:41:02,7:41:53,
104.6663506,2,2,8:27:35,8:29:19,"QsC4FkhZhsQ, tEz9DXN57XE"
75.27815104,4,1,9:07:22,9:08:38,9OhogiIvppE
86.70181704,5,2,9:15:41,9:17:08,"jWCA0bH6ofY, WABtmbLZZrw"
69.80317831,4,1,10:07:36,10:08:46,F1QiNAhQ9jU
39.25938225,4,0,10:13:21,10:14:01,
50.3498013,4,0,10:14:32,10:15:23,
73.38910651,6,1,11:01:28,11:02:41,O9NDwqo6_AY
98.29442,7,4,12:31:12,12:32:50,"5VoIGGMYrDg, 4ieyz_mFw-A, ZXv8JuPoeU0, JlnELQ_uwCk"
68.38630652,2,0,15:34:45,15:35:53,
77.23556113,4,2,16:29:23,16:30:40,"Ceb6jqiWy_s, xn_BVYGTQas"
96.78421378,7,3,17:13:14,17:14:50,"TAgtSsLKrgw, wfgEeLy6PnU, 63jpMSSVLSo"
85.32290459,7,0,17:29:38,17:31:03,
73.76808834075928,7,0,17:47:59,17:49:13,
80.9811487197876,6,0,17:51:37,17:52:58,
79.38763356208801,6,0,17:54:02,17:55:21,
83.56718468666077,6,1,18:15:25,18:16:49,2kYdHk8bt-0
100.92117047309875,10,5,19:06:10,19:07:51,"fR_uLwBIHRY, QPayY7Re7Yg, eXQvoeKbPXo, u_mKbmoK2dM, LP9ONDVfSvM"
95.99034261703491,9,0,19:08:40,19:10:16,
129.44322514533997,9,0,19:12:28,19:14:37,
109.01710891723633,9,6,20:58:47,21:00:36,"5T2xq-_mi58, K6uh2jGMtX4, JIZi-vFti0A, XzD-Ms5ukLE, KQNLAcH8ye4, OAg_efe7bLs"
144.2685902118683,13,9,22:10:42,22:13:06,"3kWj3Bf2fRw, Zwd7x81EFSc, wMmBIwNGdHo, h40pKBdEqRs, zBejpCv_QaA, S0V9dQtpnlM, WrgF4_hTiXg, ezt7iGRLOCQ, oqUFc0ITMs0"
217.40987706184387,13,2,22:33:04,22:36:42,"4s2N1hOgIQw, eqWVrOqibZg"
154.71568417549133,13,1,23:09:13,23:11:48,EjCP1fEKeS0
107.22515916824341,13,0,23:13:40,23:15:27,
