Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
197.5636692047119,7,7,10:45:54,10:49:12,"ryUa-7_ylUo, _s_248cAjOk, bu7NHn2hXLc, eISUyKpPg-I, 75dUDnCujT4, -TGFqNK8czE, XbJE5VYDvRs"
121.89888310432434,7,1,11:07:50,11:09:52,wDh0RdwpBJY
48.65817975997925,6,0,11:19:02,11:19:50,
55.11040234565735,6,0,11:31:49,11:32:44,
121.26537990570068,6,2,12:03:31,12:05:32,"6B85VN1CBs0, 7HGIIPrpb2w"
64.36186981201172,6,0,12:14:34,12:15:38,
59.582159757614136,5,0,12:24:52,12:25:52,
56.40025448799133,5,0,12:34:31,12:35:27,
105.75893568992615,7,2,13:14:20,13:16:06,"AOMpJK1oTc4, MeE9-ecjERE"
171.60437321662903,7,0,13:40:18,13:43:10,
69.30056571960449,7,0,14:23:06,14:24:15,
165.46942138671875,7,0,14:35:41,14:38:27,
54.151134967803955,6,0,15:00:25,15:01:19,
90.63385915756226,7,1,15:06:02,15:07:33,TXZElw7GKkU
88.06096029281616,6,1,16:30:33,16:32:01,CRmM5gUS0AA
155.73662614822388,7,5,18:19:06,18:21:41,"vglqpZiv330, tv-u1U7lSyY, Ca6-2B4dwNo, Nbs2CWX0pkA, UHCRH8tIYGQ"
124.87738275527954,8,5,19:09:42,19:11:47,"s97csg-WFN4, LAVJjIu03mA, FR9VnXOuPhU, jCr3booFVrU, r9RTN5_fDZA"
55.95350241661072,8,0,19:18:25,19:19:21,
68.3569233417511,8,0,19:22:37,19:23:46,
55.882222414016724,7,0,19:39:01,19:39:57,
111.07941913604736,3,1,20:14:11,20:16:02,p9k8A3XzH68
211.22670793533325,10,8,21:30:29,21:34:01,"jxIaegrWkGg, nmz2qqjQi0M, L9TxWjDrZoM, 1Aon2lx8tfE, 8xFNL46XU14, CiU1eqAXUMU, IeyM4ukJV8Q, tIFJQSNXyjQ"
224.97297382354736,22,10,21:36:01,21:39:46,"jxIaegrWkGg, nmz2qqjQi0M, L9TxWjDrZoM, 1Aon2lx8tfE, 8xFNL46XU14, CiU1eqAXUMU, IeyM4ukJV8Q, tIFJQSNXyjQ, jxIaegrWkGg, nmz2qqjQi0M, L9TxWjDrZoM, 1Aon2lx8tfE, 8xFNL46XU14, CiU1eqAXUMU, IeyM4ukJV8Q, tIFJQSNXyjQ, twYTOgg-oqo, RaI4x3gDo0o"
201.03941893577576,34,10,21:41:46,21:45:07,"jxIaegrWkGg, nmz2qqjQi0M, L9TxWjDrZoM, 1Aon2lx8tfE, 8xFNL46XU14, CiU1eqAXUMU, IeyM4ukJV8Q, tIFJQSNXyjQ, jxIaegrWkGg, nmz2qqjQi0M, L9TxWjDrZoM, 1Aon2lx8tfE, 8xFNL46XU14, CiU1eqAXUMU, IeyM4ukJV8Q, tIFJQSNXyjQ, twYTOgg-oqo, RaI4x3gDo0o, jxIaegrWkGg, nmz2qqjQi0M, L9TxWjDrZoM, 1Aon2lx8tfE, 8xFNL46XU14, CiU1eqAXUMU, IeyM4ukJV8Q, tIFJQSNXyjQ, twYTOgg-oqo, RaI4x3gDo0o"
159.87247896194458,15,6,22:21:54,22:24:34,"3IKs5dr1Wd0, hyyezP0FM3U, ofxv4Xn2UY8, qFvSBalwbdg, wHsJb-hDtsk, r45W0S_bwNg"
164.20669770240784,30,6,22:26:34,22:29:18,"3IKs5dr1Wd0, hyyezP0FM3U, ofxv4Xn2UY8, qFvSBalwbdg, wHsJb-hDtsk, r45W0S_bwNg, 3IKs5dr1Wd0, hyyezP0FM3U, ofxv4Xn2UY8, qFvSBalwbdg, wHsJb-hDtsk, r45W0S_bwNg"
153.3078098297119,45,6,22:31:18,22:33:51,"3IKs5dr1Wd0, hyyezP0FM3U, ofxv4Xn2UY8, qFvSBalwbdg, wHsJb-hDtsk, r45W0S_bwNg, 3IKs5dr1Wd0, hyyezP0FM3U, ofxv4Xn2UY8, qFvSBalwbdg, wHsJb-hDtsk, r45W0S_bwNg, 3IKs5dr1Wd0, hyyezP0FM3U, ofxv4Xn2UY8, qFvSBalwbdg, wHsJb-hDtsk, r45W0S_bwNg"
114.2738893032074,10,2,23:26:17,23:28:12,"2c6-9ic8mrg, -qwxKqvqVvw"
185.03544783592224,20,2,23:30:12,23:33:17,"2c6-9ic8mrg, -qwxKqvqVvw, 2c6-9ic8mrg, -qwxKqvqVvw"
172.2865505218506,31,4,23:35:17,23:38:09,"2c6-9ic8mrg, -qwxKqvqVvw, 2c6-9ic8mrg, -qwxKqvqVvw, 2c6-9ic8mrg, -qwxKqvqVvw, lKJ-jSw5dMM, vb0Y2POcsP0"
