Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
82.09115028381348,1,0,07:01:31,07:02:53,
36.72781014442444,0,,07:34:33,07:35:10,
81.71747398376465,2,1,08:03:12,08:04:34,C0RdvGE2WVI
77.92625021934509,2,1,08:19:04,08:20:22,ldTuSMETd6c
86.83125376701355,3,1,09:11:19,09:12:46,UiKxWz03cuI
102.42252087593079,3,2,12:54:33,12:56:15,"K59_7yJtgHM, tyZWmPvxHhQ"
107.1481420993805,4,1,13:57:14,13:59:01,kmTAdBr4m2k
90.13790249824524,1,1,15:04:09,15:05:39,kmTAdBr4m2k
75.72744274139404,2,1,16:28:51,16:30:06,Eee2Hqe7WF8
73.45420289039612,1,0,17:00:47,17:02:00,
102.0415186882019,2,1,17:30:08,17:31:50,bOQad5_Gz-U
92.78595042228699,6,4,18:11:38,18:13:10,"TA2DNNX9_jg, BfUMvLAN-a8, olEGoGqZKcA, VDJ703yT6HU"
78.57628893852234,7,6,19:20:01,19:21:20,"TguIFRs1aBo, Eee2Hqe7WF8, BfUMvLAN-a8, olEGoGqZKcA, 1chMc0JWNa0, VscWRsrKxqY"
95.04907965660095,7,3,19:29:24,19:30:59,"TguIFRs1aBo, 1chMc0JWNa0, VscWRsrKxqY"
70.48158144950867,7,1,19:37:07,19:38:18,Eee2Hqe7WF8
115.07199740409851,9,2,19:59:58,20:01:53,"Vay6AQu3_Mw, Ybx98brXxCA"
88.09469866752625,10,3,20:13:35,20:15:03,"pEHgJIRP7uk, _2nz6mkF_50, lVxMMjDpJVs"
87.39284205436707,9,1,20:56:03,20:57:30,vr5aGseITWU
116.72874855995178,15,6,21:15:23,21:17:20,"KAikHHtw07c, eIi8zCPFyng, t7LDMKvuuIA, E5fmRWNDF5A, N080erjWGJM, aMCEjgka2zU"
165.6294322013855,17,9,22:14:16,22:17:01,"sVBURnrGGqQ, Wty3qW35-BU, QYx05-xBpVY, E17tl_YD6y0, n1L2JepXBkM, mGLB_fpTWMc, TvjWuobcFw0, CiPi92IcH14, iu3RqjWV1lc"
