Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
51.603416442871094,8,8,16:24:53,16:25:45,"dtTXYDeVtBw,KO4PBf9rzNk,UrhSdkQoSPo,vJ32HALSJaI,CUjVftwRmE0,ji4eRk5WuxA,IBNuaGdlJzE,DlVo4El9Kg4",2.1976709365844727
41.319334268569946,6,1,17:22:59,17:23:40,"UrhSdkQoSPo,73oPmPTP1ng,IBNuaGdlJzE,CUjVftwRmE0,vJ32HALSJaI,DlVo4El9Kg4",6.885634422302246
28.26574730873108,7,3,18:26:20,18:26:48,"kmK7kL2oW4c,CUjVftwRmE0,vJ32HALSJaI,73oPmPTP1ng,UrhSdkQoSPo,xTS-QGVap8A,qoiVMYJKkkE",1.6209158897399902
27.04464292526245,6,4,19:26:12,19:26:39,"UrhSdkQoSPo,6lSfDcj0xBA,cQPc4cotVW8,qoiVMYJKkkE,1e7ramYXyyw,oXPnxN1vnuo",2.0306527614593506
102.62052178382874,21,21,22:49:32,22:51:15,"N8L4xAaGKxw,mLBx-fciJXc,4iQfYD0JBJw,hD1sAqq-Vrc,c9h_uHVppxc,K3T3zEP0K3E,P0z-oYUz-NY,Qj5XO2TEa2U,_k_6ScegKqQ,BSUx1RRiL44,iqPX8-45sYg,6VC4LNXL56A,D8eF3YfCFrE,BdDPkTBcubA,Fn0rVWXWelI,n4IEzNdzH2s,TQKgGOAFl4E,WpehNsNzXBg,q6PswBGarYc,YiFwuEP69RY,StZzWKSwmNk",2.488654136657715
92.0272696018219,20,4,23:13:57,23:15:29,"c9h_uHVppxc,N8L4xAaGKxw,BdDPkTBcubA,K3T3zEP0K3E,BSUx1RRiL44,9SRwFPL1OkY,_k_6ScegKqQ,hD1sAqq-Vrc,n4IEzNdzH2s,P0z-oYUz-NY,YiFwuEP69RY,NKvJOLqNGGc,WpehNsNzXBg,q6PswBGarYc,StZzWKSwmNk,iqPX8-45sYg,D8eF3YfCFrE,TQKgGOAFl4E,Qj5XO2TEa2U,5ECJDfEBu5I",3.2208869457244873
