Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
133.1301872730255,4,4,10:54:17,10:56:30,"07AzK6levMM, yxphM8tyof8, KKoKI2sXLgs, Kb62_lYilFI"
102.47148633003235,8,1,11:54:04,11:55:46,uU241GDu0oU
74.48270559310913,8,0,11:56:32,11:57:47,
129.37032294273376,12,4,12:06:40,12:08:49,"aUvoh1fZluE, IkeP4mNyY2g, tK_mD6Z_LA4, tAaLFzKxTDo"
144.38433146476746,10,3,14:27:00,14:29:24,"1LaAjUohtVw, LDp7tPX1yrU, isi6jR93lvw"
64.54761242866516,6,0,15:20:46,15:21:50,
110.74207711219788,6,2,16:31:07,16:32:57,"Pk1Vt17x10U, RMKmVJd7VBY"
88.27488613128662,4,1,17:26:52,17:28:20,Phuwi7wkVsY
100.0219304561615,6,2,18:12:56,18:14:36,"pe20rWOGQCw, YRemcrH44AE"
111.99827694892883,6,4,19:19:37,19:21:29,"8UCeu-Exzjo, 8AyWWiByS2E, vu9wISzp-6Y, J9vRBA4hYus"
148.68066835403442,9,3,20:17:33,20:20:02,"IWwVOMcLfLg, wBgIDAbafyw, qnZkyBgtxxg"
197.52156519889832,13,7,21:52:58,21:56:16,"RtaGRtCLxww, uu5lv-g8gEA, v50FB1hYqT0, b5XNn0ewF00, iEEblPHpG80, B_D6fkpKwvY, 8xyUIwCZf90"
230.28860473632812,15,3,22:05:27,22:09:17,"tCwiJVyCG2A, aj7Yk11e_yI, vhZQOHD4Ksk"
139.43964409828186,13,1,22:41:59,22:44:19,R18C2VjRCxM
121.04993867874146,13,2,23:43:34,23:45:35,"m9DCPvYuU8k, iBxaOiP5I_I"
