Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
32.45178151130676,3,2,08:38:32,08:39:04,"iH2ZcHxKBpk,v5OUp9MSEYQ,eME7vECdcks",2.435805082321167
28.522619247436523,5,3,11:17:10,11:17:39,"iH2ZcHxKBpk,VmiQbZmuubk,ELCTnx6sJUw,eME7vECdcks,1Sg6qO3HAPI",6.050971746444702
23.539223670959473,4,2,14:03:53,14:04:17,"lWviugwupLE,HYxbeOdnGjw,ELCTnx6sJUw,K4-2Ld4bZYo",3.825934886932373
25.204182147979736,3,1,14:42:45,14:43:10,"HYxbeOdnGjw,lWviugwupLE,K4-2Ld4bZYo",7.41295862197876
22.983575105667114,2,2,16:09:48,16:10:11,"lWviugwupLE,7MdzNixbryI",2.912407636642456
25.33914017677307,1,0,16:27:11,16:27:36,7MdzNixbryI,4.573554754257202
28.947095155715942,2,2,18:08:17,18:08:46,"mqjJVzbnJhQ,x77wF2XpGwo",5.917649745941162
35.39846587181091,3,2,18:26:07,18:26:42,"-QvM9N0gu8o,x77wF2XpGwo,mqjJVzbnJhQ",4.308303117752075
45.456501960754395,6,4,19:07:24,19:08:09,"STmEvp2WTxc,x77wF2XpGwo,bXq1xFJ8nsE,-QvM9N0gu8o,VWJZG_OM7-k,hKdM0ldOJlE",5.098858833312988
57.64190220832825,10,5,20:57:27,20:58:24,"7LIs0PjbT4g,-QvM9N0gu8o,STmEvp2WTxc,ADSsAPyfyZo,Z8xsIoCPbhM,VWJZG_OM7-k,k3faMJanrHY,bXq1xFJ8nsE,I_YvvyWCWrw,x77wF2XpGwo",4.57819676399231
47.51152968406677,11,3,21:21:35,21:22:23,"x77wF2XpGwo,AXBMxI0fhdc,AgJGw1m1gi4,4YSfrG6mADY,Z8xsIoCPbhM,bXq1xFJ8nsE,k3faMJanrHY,I_YvvyWCWrw,VWJZG_OM7-k,ADSsAPyfyZo,7LIs0PjbT4g",3.3707547187805176
119.33726000785828,16,9,22:03:46,22:05:46,"k3faMJanrHY,AXBMxI0fhdc,AgJGw1m1gi4,v3IYT5p79Fg,bXq1xFJ8nsE,XHeg9Tn4YqA,99S7zTAjMxI,G5UimRuVYqA,sj0xzl7qTOs,fntIJvkI0rM,7LIs0PjbT4g,kYhDW2RR_Wk,XhU2XxJy1j4,Z8xsIoCPbhM,x77wF2XpGwo,-OnCm0qb2_c",3.6857810020446777
28.91510844230652,8,2,23:44:02,23:44:31,"sj0xzl7qTOs,7LIs0PjbT4g,XhU2XxJy1j4,-OnCm0qb2_c,G5UimRuVYqA,Z8xsIoCPbhM,cuGlJNnbIfM,IlPpSLTq620",3.0428054332733154
