Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
114.54562973976135,2,1,10:17:33,10:19:27,Hsx3ikBgyW0
84.42797255516052,3,2,15:12:20,15:13:44,"3744SGV65lQ, TDCFVNwWbXE"
80.94607520103455,5,2,16:12:56,16:14:17,"eS9ry9yOsTo, Da2nO7q2Nfw"
90.44776892662048,5,0,16:33:41,16:35:11,
113.78579449653625,7,6,18:33:12,18:35:06,"sQ-1o5Nm88s, 1DfjUCMZYoU, 6CVeFQiED8o, 11HJEOyV4QU, Z27Rb4btuzQ, Ml32icPW2hE"
122.80667757987976,9,3,19:08:25,19:10:28,"pUMcXcE1aGc, cV1Apr0qTrA, JXytyTTnXzY"
132.21283173561096,7,4,20:23:35,20:25:47,"mKQGRfl9vCc, qq3V2gf3Z2g, Mhd00q0l7gQ, vLIleL6ZBxI"
122.53594875335693,12,6,21:03:58,21:06:00,"O4ygJkeOQIw, 0rcG9_Ad8k8, x2M04z6W5JU, zpvnXCaSv9s, EiTrE7oHzvM, O0uwaHsYayQ"
216.4281394481659,22,12,22:47:09,22:50:46,"HGleB170TfE, j0G4A_UkMA4, lsIvVMavlIg, LG1MrWvqOFM, q-t2eUHc3_o, dHSFQQL8gLw, IiRSAkZ7Fgw, ZoPxELWrdOU, FlF6bCFf3qE, PtALyK0QRYY, CgQgrYzwLlg, Jdn1rlJxDrA"
