Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
103.04802346229553,2,2,07:10:13,07:11:56,"ueDbhKzIzF0, RSPP_IWyL4M"
74.72869968414307,2,1,08:03:12,08:04:26,Y_7pOiQpAuc
100.26701831817627,3,2,09:58:47,10:00:28,"DEOetwi0-hA, 2dnjGt5Knu4"
88.34057402610779,2,1,12:38:51,12:40:19,3gpkqxvtppM
121.72827529907227,3,3,17:17:25,17:19:27,"OHaQ3FiKYSs, nfOGzGhpJ_g, tKn8cSzkiwM"
128.14253950119019,5,4,18:29:41,18:31:49,"lueGJGxj1ws, 7U-HsWwRYWU, PbpcRXVmrOs, A-1d0WncqzY"
131.70919561386108,8,4,19:37:02,19:39:14,"ucLwtAAp__o, zht1aSoNAMU, mnhRiD52BEs, TRcHYdwPDgo"
260.09783816337585,19,13,20:10:32,20:14:52,"K_mUcIrE_GU, 0chaqsd6sqk, 0fn18Svm054, XCcVDm5W_mo, S72XCko3JNc, t9xITvjR_lY, iqHmitjWfsk, Rd8dOJi7nJ0, 7Ut_3ha1eMU, ms4TI5DsLDA, NWIO_KAekCw, 9gvXdhk2-3A, ZKVWl3k1ZMo"
128.2094647884369,20,2,20:29:38,20:31:46,"DG87CIYQldc, lOBEmXj-iLs"
189.886656999588,18,6,21:29:01,21:32:11,"Ag0XhQ-EDf0, _NZqUZ7F2yc, OD8tFhA83EU, IEArVtjI75A, xiwp1xOgdR4, ZWTXi4KDwpM"
163.63980078697205,20,2,21:32:32,21:35:16,"76ykVW5fiK8, GB4qLS4tW4I"
155.26322555541992,21,4,22:11:16,22:13:51,"63OiX135qoM, r5FfHVUAiYY, o1UIrydjQ3U, sotnsyT14-c"
