Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
100.89540481567383,3,3,09:01:16,09:02:57,"e1j5N89wCtg, LEqGyUzjjJM, gK3UGvGwFKM"
102.75763273239136,4,2,10:58:21,11:00:04,"z4qr884715k, LfUVpJ0Iy5c"
95.83896946907043,4,1,11:24:06,11:25:41,spG6fApOi5c
47.369466066360474,2,0,12:03:50,12:04:37,
119.77254962921143,3,1,12:17:04,12:19:04,39IIGwgW5eo
88.62891864776611,3,1,13:38:45,13:40:14,WbQbJK7u1ys
118.04433751106262,3,3,17:03:21,17:05:19,"yLd0BLM04pE, 4do_A6JzlE0, IzMdlAr1EmA"
127.70410323143005,4,3,19:05:43,19:07:51,"Qk51imbGXR0, QIBIzwyYS1A, cuq7MVXiDY0"
100.39609599113464,5,1,19:37:53,19:39:33,gdYcnQuBCMw
117.31370902061462,5,3,20:23:11,20:25:08,"8bugrNw1UdU, gir9yUD5_VA, QNHnp7QRrRA"
104.83984160423279,5,1,20:44:51,20:46:36,Bt8BNNfQo9g
172.24144554138184,10,6,21:08:07,21:10:59,"S6jAKAs0lOY, O3SP4sSmhhQ, pH7WoiAi_6Q, -3Myb9YphHg, iaCOjqaFdKw, trFfSftVja0"
137.00305247306824,11,2,21:42:32,21:44:49,"1PNBmQjwIW4, WgKSWsCaJMw"
201.9151062965393,8,5,23:16:02,23:19:24,"Y5eVpptqvp4, cXEGG7ccSwA, trmOSsoBcIo, UH8eQRXbpUU, rD7PnPQRE-4"
105.7509708404541,9,1,23:51:54,23:53:40,PB85wkohTDo
