Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
69.7639365196228,6,6,13:33:21,13:34:30,"dNM_iJCGRDQ,RO_6wwyyc6U,VY6JnkYUiYU,oTkslV0Tay8,MoIs1uoZWtc,HssMsAzga6g",29.884822130203247
75.7853536605835,5,0,14:12:37,14:13:53,"dNM_iJCGRDQ,VY6JnkYUiYU,oTkslV0Tay8,MoIs1uoZWtc,HssMsAzga6g",33.88349986076355
50.713369369506836,3,0,15:13:13,15:14:04,"dNM_iJCGRDQ,VY6JnkYUiYU,oTkslV0Tay8",33.478554010391235
55.22019934654236,4,2,16:04:12,16:05:07,"yNs_w1GVwNs,dNM_iJCGRDQ,VY6JnkYUiYU,rGlgrZwnLIk",34.54342579841614
88.38063740730286,5,2,17:13:48,17:15:16,"yNs_w1GVwNs,qVpTmCk6Zd4,VY6JnkYUiYU,lv6Kg5rOv2g,rGlgrZwnLIk",32.945749044418335
70.89062523841858,6,2,18:07:14,18:08:25,"yNs_w1GVwNs,TS08hFQK5gI,qVpTmCk6Zd4,VY6JnkYUiYU,lv6Kg5rOv2g,Bh48Zb_5fWo",34.70210337638855
68.25851774215698,7,3,19:08:58,19:10:06,"IeI0NToU3Ig,TS08hFQK5gI,qVpTmCk6Zd4,jCdZSPWKhTY,lv6Kg5rOv2g,rBWRlox7uTQ,Bh48Zb_5fWo",29.93755865097046
76.87980699539185,5,0,19:54:44,19:56:01,"IeI0NToU3Ig,qVpTmCk6Zd4,jCdZSPWKhTY,rBWRlox7uTQ,Bh48Zb_5fWo",35.07642459869385
58.696263790130615,7,3,20:19:14,20:20:13,"NG_ZyOrpwr0,qVpTmCk6Zd4,jCdZSPWKhTY,RK_yE8XwcE4,rBWRlox7uTQ,Ojawf7F3K_Y,Bh48Zb_5fWo",31.69493842124939
82.67821455001831,14,8,21:03:29,21:04:52,"rJFvXsdOFrY,NG_ZyOrpwr0,qVpTmCk6Zd4,jCdZSPWKhTY,RtY7ayP-n3M,AR6O_yi2bx8,RK_yE8XwcE4,lWoJiROcLDc,ekYTWAQo4Mk,TJz5S18UQ7o,7-244ePcx4M,Fhlm1FRtudM,Ojawf7F3K_Y,Bh48Zb_5fWo",35.82327175140381
71.28695321083069,14,0,21:07:56,21:09:08,"rJFvXsdOFrY,NG_ZyOrpwr0,qVpTmCk6Zd4,jCdZSPWKhTY,RtY7ayP-n3M,AR6O_yi2bx8,RK_yE8XwcE4,lWoJiROcLDc,ekYTWAQo4Mk,TJz5S18UQ7o,7-244ePcx4M,Fhlm1FRtudM,Ojawf7F3K_Y,Bh48Zb_5fWo",30.587687492370605
97.5393590927124,14,2,21:41:42,21:43:20,"rJFvXsdOFrY,itydBAdcNqs,NG_ZyOrpwr0,qVpTmCk6Zd4,RtY7ayP-n3M,AR6O_yi2bx8,RK_yE8XwcE4,lWoJiROcLDc,ekYTWAQo4Mk,TJz5S18UQ7o,7-244ePcx4M,Fhlm1FRtudM,Ojawf7F3K_Y,-5oTpqfGzH8",34.7015278339386
82.48236680030823,17,3,22:01:34,22:02:56,"rJFvXsdOFrY,itydBAdcNqs,NG_ZyOrpwr0,qVpTmCk6Zd4,RtY7ayP-n3M,AR6O_yi2bx8,RK_yE8XwcE4,lWoJiROcLDc,ekYTWAQo4Mk,tbUObeQiifM,TJz5S18UQ7o,7-244ePcx4M,Fhlm1FRtudM,Ojawf7F3K_Y,-mRJXV0oDcI,-5oTpqfGzH8,-YLPQe9T2EU",29.73474097251892
102.18492245674133,19,2,22:09:46,22:11:28,"rJFvXsdOFrY,itydBAdcNqs,NG_ZyOrpwr0,qVpTmCk6Zd4,rBFS9MXQDaU,RtY7ayP-n3M,AR6O_yi2bx8,RK_yE8XwcE4,lWoJiROcLDc,ekYTWAQo4Mk,tbUObeQiifM,TJz5S18UQ7o,7-244ePcx4M,Fhlm1FRtudM,Ojawf7F3K_Y,1XDQlANMffg,-mRJXV0oDcI,-5oTpqfGzH8,-YLPQe9T2EU",34.526954650878906
89.91149401664734,12,0,23:14:26,23:15:55,"itydBAdcNqs,NG_ZyOrpwr0,rBFS9MXQDaU,RtY7ayP-n3M,AR6O_yi2bx8,tbUObeQiifM,7-244ePcx4M,Fhlm1FRtudM,Ojawf7F3K_Y,1XDQlANMffg,-mRJXV0oDcI,-YLPQe9T2EU",35.01443433761597
