Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
66.63368082046509,8,6,14:28:19,14:29:26,"dIaXF0j8Jig,c6YxMrWaLRE,SyQaAwlxEfM,K9IXQreaSf8,Rqa9W1pFw9M,CpOrfioowk8,ID71qISv2rU,s57V-5kuH-4",5.899142742156982
44.55303168296814,10,5,16:09:35,16:10:20,"c6YxMrWaLRE,uc8I6yVg9aw,FnzopJavhhk,JddN1kLHOts,Jn4OuD9gdWE,CpOrfioowk8,_Jjl8VmRgfY,SyQaAwlxEfM,k_5VY-TWKAk,dIaXF0j8Jig",4.111384153366089
33.27139925956726,8,0,16:57:05,16:57:39,"c6YxMrWaLRE,k_5VY-TWKAk,FnzopJavhhk,uc8I6yVg9aw,CpOrfioowk8,JddN1kLHOts,_Jjl8VmRgfY,Jn4OuD9gdWE",1.8386869430541992
38.509124517440796,9,1,17:03:14,17:03:53,"xMMcdRE2K4M,Jn4OuD9gdWE,uc8I6yVg9aw,c6YxMrWaLRE,_Jjl8VmRgfY,FnzopJavhhk,CpOrfioowk8,k_5VY-TWKAk,JddN1kLHOts",2.6279146671295166
14.73427414894104,4,1,18:12:44,18:12:59,"CpOrfioowk8,LPym-r3zJpM,k_5VY-TWKAk,xMMcdRE2K4M",1.700103998184204
33.8590190410614,4,0,18:22:21,18:22:55,"LPym-r3zJpM,k_5VY-TWKAk,xMMcdRE2K4M,CpOrfioowk8",6.5727996826171875
32.38624310493469,5,2,19:28:05,19:28:37,"xMMcdRE2K4M,CpOrfioowk8,k_5VY-TWKAk,FsmLr9UEyhQ,wg3mY-J4wzk",5.434795618057251
38.62864279747009,7,4,20:36:11,20:36:50,"k_5VY-TWKAk,wg3mY-J4wzk,JEyWbHwLKJE,YQClbY7gWZY,-fW2iF7wiSg,CpOrfioowk8,7zYMq7wI-Vk",1.8503026962280273
52.082576274871826,14,9,21:21:29,21:22:21,"VXw32NT1CaQ,QOJPQ7yjr9E,g03i0lfq89k,k_5VY-TWKAk,wg3mY-J4wzk,qjPQ9u663is,Qrjj-rSVLQ0,YQClbY7gWZY,WV9OsLopvso,7zYMq7wI-Vk,Jq418JaHG3g,g17btQ_W5Sk,JO4QYfe4PI8,-fW2iF7wiSg",2.451941967010498
122.09594941139221,16,1,22:16:16,22:18:18,"RS7KqotAwlY,QOJPQ7yjr9E,WV9OsLopvso,qjPQ9u663is,g17btQ_W5Sk,g03i0lfq89k,7zYMq7wI-Vk,Qrjj-rSVLQ0,JO4QYfe4PI8,WTy-MPRsRO4,SmdRVAdtRDw,5cyW7zqhAO0,Jq418JaHG3g,-fW2iF7wiSg,YQClbY7gWZY,k_5VY-TWKAk",3.119002103805542
