Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
41.209120988845825,6,6,17:27:10,17:27:51,"bS06H-D4SJ0,oirPA-YeSMg,pru6ZeVivvo,hKFxtMNCbts,ANoTFrO7hQs,j64A1KjxRaI",1.8474175930023193
35.59770679473877,7,3,18:18:02,18:18:38,"hKFxtMNCbts,oirPA-YeSMg,ANoTFrO7hQs,eLTWvO-XYJ8,j64A1KjxRaI,l0gDsLih8dM,EVIPGSatp2o",3.1400070190429688
44.20845603942871,8,3,19:03:45,19:04:29,"hKFxtMNCbts,7wiMax-p1MM,A4efgn3MD-w,eLTWvO-XYJ8,ANoTFrO7hQs,j64A1KjxRaI,9HcVc2_LrLY,l0gDsLih8dM",2.0758848190307617
62.689804553985596,17,15,21:40:01,21:41:04,"FVcRNa24IEk,N264SgsxeX0,PfjpeBO3hUw,45HK0rsc23c,3bHD29dSLs4,RZ8oOYvJ0wA,7wiMax-p1MM,j64A1KjxRaI,zCjyLEOJtzI,8BbZL_ILO3g,9YyXrDVRg98,qRb1BrQnA7I,CEnAukZ95bE,y55gKOG5eoA,826PeteGoKA,SodLbph6u-g,zal3G3FwdhY",2.62208890914917
71.94487810134888,21,8,22:09:22,22:10:34,"SacbLXskakg,y55gKOG5eoA,826PeteGoKA,45HK0rsc23c,nBCPOLU6Jyg,h289Bsz2QvQ,9oZGgUWw0e0,9YyXrDVRg98,qRb1BrQnA7I,FVcRNa24IEk,jPf0H6iNJt8,PfjpeBO3hUw,8BbZL_ILO3g,CEnAukZ95bE,oNUNZnRwlLc,uH4Yb1PuEuI,j64A1KjxRaI,zal3G3FwdhY,3bHD29dSLs4,2ZdAB2knkpg,zCjyLEOJtzI",0.91603684425354
56.373637676239014,20,0,22:30:06,22:31:03,"SacbLXskakg,9oZGgUWw0e0,nBCPOLU6Jyg,45HK0rsc23c,jPf0H6iNJt8,h289Bsz2QvQ,9YyXrDVRg98,y55gKOG5eoA,qRb1BrQnA7I,FVcRNa24IEk,zCjyLEOJtzI,8BbZL_ILO3g,PfjpeBO3hUw,oNUNZnRwlLc,CEnAukZ95bE,zal3G3FwdhY,uH4Yb1PuEuI,3bHD29dSLs4,j64A1KjxRaI,2ZdAB2knkpg",0.9340784549713135
30.534404277801514,9,3,23:25:21,23:25:52,"SacbLXskakg,h289Bsz2QvQ,p1VT6n34H3Y,9oZGgUWw0e0,vuVYx2nUy3M,nCPgi67dr_o,9YyXrDVRg98,8BbZL_ILO3g,CEnAukZ95bE",0.7999660968780518
