Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
113.14120745658875,9,6,15:24:16,15:26:09,"SialCV510iM, gdPacip-XS8, kOj8UnKjAas, j8UMLwN3vxg, gpNBP57IeiU, NAc5rj4e_a4"
90.37154817581177,8,0,15:47:40,15:49:10,
116.74060010910034,10,2,16:05:57,16:07:54,"qHZwDxea7fQ, wQJvP3MmNdI"
125.54301691055298,12,4,17:02:19,17:04:24,"bDva2DiK2t0, ZWIwwP6IPmc, Tn3G_WPsWH4, s4HNE9QBHuE"
131.01332902908325,10,1,17:43:21,17:45:32,Fxg6EJyAYI4
111.0962872505188,9,1,18:03:05,18:04:56,co272QY_8sg
146.45520734786987,10,3,19:02:50,19:05:16,"fUcfqw81rPg, FuWebUsyWw0, AHxXUsef_VI"
107.28883290290833,9,0,19:37:33,19:39:20,
131.1362271308899,10,2,20:19:38,20:21:49,"VGkGfb2Z_ho, NBIDmdFUEFs"
139.7221519947052,10,0,20:59:17,21:01:36,
129.20008778572083,13,5,21:47:10,21:49:19,"kixEahvWPiI, WGjAGh1zVQg, vmYhBqG0v7Q, XEmVIxhWzpA, FTk_RqNLXuQ"
