Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
80.45074033737183,1,1,04:48:28,04:49:49,sTbaIwATIlw
43.83052349090576,1,0,05:12:57,05:13:41,
44.37245535850525,1,0,05:14:21,05:15:06,
33.405778646469116,1,0,05:17:31,05:18:05,
93.37164521217346,2,1,05:29:19,05:30:53,Fbv_ypDAmL8
37.51808452606201,0,0,07:56:30,07:57:07,
111.31203746795654,1,1,08:43:46,08:45:37,j8Gu60KYT9I
113.45327758789062,3,2,09:36:04,09:37:57,"20X9YyxJFHk, sikMZSFhHkg"
118.21000552177429,4,2,10:27:24,10:29:22,"Fn_-41k38DE, j1gUXw814vA"
140.620587348938,5,1,11:09:38,11:11:58,vbT2OGs9CDs
181.99079775810242,8,5,13:00:41,13:03:43,"ClaxvhA-0fU, ErGxki9etm0, ri36EuiV5xI, sQtqkwKLDj8, -OzDEgAqZCg"
75.58206677436829,8,0,13:23:20,13:24:35,
174.40020084381104,4,3,16:25:54,16:28:49,"63ndKrFy1Pc, VVh9VpU9L2A, 2UHaeqx8b5w"
186.67945837974548,4,3,18:18:41,18:21:48,"vbPihzlaAF0, -Wqem25iZTY, SrVn2NKmwtw"
236.7720329761505,14,13,21:42:55,21:46:52,"3fvZGW6KvPs, 1mbBpKtSzSQ, uCXTe-U7EJk, FtQPlZpqzSI, ZZ9Y2fRAVFI, o6XFXF0QUjs, 5P9skO8lBzE, Y_OUWChhtP8, Kq8jm_5fGs4, DTwI9Va2cvY, M514qs0Qi-s, cOV_uNEQK0U, svVQb09-d94"
143.89185452461243,16,5,22:20:03,22:22:27,"j_FTSwkBcBc, r_F6b6JtiAo, t0mp1tsblEM, bsc0gPzNBQ0, A5EwOdQQIKs"
53.66667819023132,12,0,22:55:51,22:56:45,
157.02507257461548,13,2,23:08:55,23:11:32,"xxzbr5O-RE0, L9RpzhOL1HY"
