Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
72.23639130592346,2,2,09:04:39,09:05:51,"drLYMfoplK8,cJ_fZCwR1uE",41.00964164733887
49.72908163070679,2,1,11:02:01,11:02:51,"NlY1Bdnk8Lk,drLYMfoplK8",32.24835205078125
57.84123158454895,3,1,11:47:13,11:48:11,"NlY1Bdnk8Lk,-OIP3bS2x_g,drLYMfoplK8",34.01844501495361
64.9408209323883,6,5,13:40:08,13:41:13,"LiPEZCtd3to,X4w883zT8Js,i-I-rp2VzTw,-OIP3bS2x_g,k6O2DBPPxeY,XMBDB75hhNM",32.90572905540466
82.22423243522644,5,2,16:16:23,16:17:45,"LiPEZCtd3to,X4w883zT8Js,cxxkAW0Ih6A,S5Z4fjRVwFs,i-I-rp2VzTw",35.36036038398743
63.105700731277466,4,2,17:48:27,17:49:30,"vRbKwXCWSEk,X4w883zT8Js,HmsSTBlVFsM,S5Z4fjRVwFs",33.722371339797974
70.47303462028503,7,3,18:15:08,18:16:18,"vRbKwXCWSEk,1nTJO2Ai8qs,gIXx77QZ4zQ,6o0u_3hAzL0,X4w883zT8Js,HmsSTBlVFsM,S5Z4fjRVwFs",33.87144327163696
62.32459878921509,9,3,19:09:37,19:10:40,"_FrQCA9qvvA,vRbKwXCWSEk,1nTJO2Ai8qs,gIXx77QZ4zQ,6o0u_3hAzL0,X4w883zT8Js,HmsSTBlVFsM,oD2MEveeGO4,RaNLEhrWBDE",28.950320720672607
77.06428408622742,13,4,19:34:43,19:36:00,"adqANElz-CQ,Y0Dtm1VKH1I,_FrQCA9qvvA,vRbKwXCWSEk,1nTJO2Ai8qs,gIXx77QZ4zQ,6o0u_3hAzL0,X4w883zT8Js,HmsSTBlVFsM,QWrqb8K7D6s,oD2MEveeGO4,L8NXyMWGrl8,RaNLEhrWBDE",31.379159212112427
103.27047061920166,11,0,19:58:18,20:00:01,"adqANElz-CQ,Y0Dtm1VKH1I,_FrQCA9qvvA,vRbKwXCWSEk,1nTJO2Ai8qs,gIXx77QZ4zQ,6o0u_3hAzL0,QWrqb8K7D6s,oD2MEveeGO4,L8NXyMWGrl8,RaNLEhrWBDE",35.33693861961365
103.18728852272034,15,4,20:03:30,20:05:14,"adqANElz-CQ,Y0Dtm1VKH1I,_FrQCA9qvvA,vRbKwXCWSEk,1nTJO2Ai8qs,gIXx77QZ4zQ,6o0u_3hAzL0,u6g_uja_XDU,QWrqb8K7D6s,oD2MEveeGO4,97H4XaOJKeE,L8NXyMWGrl8,RaNLEhrWBDE,vxLfaIc57oY,3PeRvqJj-c8",34.074729681015015
71.0412323474884,12,1,20:42:17,20:43:28,"Uu2lhz6wvWg,adqANElz-CQ,Y0Dtm1VKH1I,vRbKwXCWSEk,u6g_uja_XDU,QWrqb8K7D6s,oD2MEveeGO4,97H4XaOJKeE,L8NXyMWGrl8,RaNLEhrWBDE,vxLfaIc57oY,3PeRvqJj-c8",29.75856304168701
73.24712681770325,9,3,21:25:14,21:26:28,"Uu2lhz6wvWg,Y1XL8CcjxV4,u6g_uja_XDU,FjSaOjpfLgs,oD2MEveeGO4,97H4XaOJKeE,hfWCqAdrQpk,RaNLEhrWBDE,3PeRvqJj-c8",34.71734285354614
